Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,175.850006,182.720001,173.110001,178.759995,178.759995,1480500
2021-04-07,178.029999,179.000000,170.490005,171.770004,171.770004,1862700
2021-04-08,173.389999,179.250000,173.000000,176.270004,176.270004,1702300
2021-04-09,174.600006,184.410004,174.020004,179.740005,179.740005,2142200
2021-04-12,183.000000,184.970001,172.220001,175.649994,175.649994,2034400
2021-04-13,184.770004,201.009995,182.559998,194.660004,194.660004,6062800
2021-04-14,197.500000,211.539993,196.399994,201.339996,201.339996,4990600
2021-04-15,202.110001,207.229996,195.770004,202.089996,202.089996,2003900
2021-04-16,201.710007,228.100006,200.500000,227.350006,227.350006,4511000
2021-04-19,220.000000,227.979996,212.369995,221.500000,221.500000,3143800
2021-04-20,217.110001,222.320007,200.009995,208.149994,208.149994,2666400
2021-04-21,204.770004,217.210007,200.779999,212.830002,212.830002,2450600
2021-04-22,213.899994,217.000000,203.009995,207.300003,207.300003,2634100
2021-04-23,207.500000,213.979996,203.110001,207.610001,207.610001,2033800
2021-04-26,209.899994,225.679993,204.210007,221.500000,221.500000,2876400
2021-04-27,221.869995,263.670013,220.199997,257.670013,257.670013,7361900
2021-04-28,253.080002,253.339996,235.100006,244.270004,244.270004,4325200
2021-04-29,247.720001,252.250000,231.110001,237.529999,237.529999,2347200
2021-04-30,239.500000,249.449997,235.110001,236.929993,236.929993,2447600
2021-05-03,238.500000,239.789993,190.000000,195.119995,195.119995,8594300
2021-05-04,184.649994,191.970001,170.000000,180.669998,180.669998,6333100
2021-05-05,186.940002,194.990005,160.000000,171.740005,171.740005,6640000
2021-05-06,156.000000,176.880005,155.000000,172.520004,172.520004,6212700
2021-05-07,177.990005,179.500000,170.100006,176.000000,176.000000,2571200
2021-05-10,172.039993,174.889999,158.009995,160.500000,160.500000,5438700
2021-05-11,134.050003,146.800003,121.739998,138.179993,138.179993,8368600
2021-05-12,132.500000,139.860001,125.459999,127.820000,127.820000,4742600
2021-05-13,129.399994,133.440002,117.120003,121.000000,121.000000,5065600
2021-05-14,121.250000,136.360001,118.309998,131.690002,131.690002,4242400
2021-05-17,133.009995,140.669998,128.580002,140.160004,140.160004,2820800
2021-05-18,140.289993,151.570007,140.289993,144.550003,144.550003,2829700
2021-05-19,139.639999,146.440002,137.889999,142.139999,142.139999,1895000
2021-05-20,144.110001,147.949997,142.139999,146.389999,146.389999,2024900
2021-05-21,149.210007,149.699997,142.580002,143.009995,143.009995,1674500
2021-05-24,144.300003,151.190002,142.750000,145.919998,145.919998,1792700
2021-05-25,148.500000,149.740005,143.240005,147.550003,147.550003,2135300
2021-05-26,147.009995,151.880005,145.000000,150.899994,150.899994,1827100
2021-05-27,153.550003,157.880005,147.160004,150.750000,150.750000,5867200
2021-05-28,151.289993,154.399994,147.110001,147.619995,147.619995,1702900
2021-06-01,149.139999,150.389999,142.720001,145.399994,145.399994,2348800
2021-06-02,143.589996,175.750000,141.050003,171.300003,171.300003,5678000
2021-06-03,165.440002,177.639999,164.580002,173.690002,173.690002,3032000
2021-06-04,174.990005,186.229996,173.520004,183.009995,183.009995,2990100
2021-06-07,186.000000,199.000000,182.559998,195.039993,195.039993,3642200
2021-06-08,197.500000,204.220001,185.570007,198.850006,198.850006,3782500
2021-06-09,200.000000,214.500000,199.990005,209.639999,209.639999,4913900
2021-06-10,205.679993,212.669998,197.139999,204.940002,204.940002,3534900
2021-06-11,204.500000,211.270004,201.649994,209.679993,209.679993,2552700
2021-06-14,225.440002,229.500000,200.610001,207.710007,207.710007,11199700
2021-06-15,200.000000,201.800003,186.000000,187.070007,187.070007,6823100
2021-06-16,182.800003,189.399994,168.800003,176.240005,176.240005,8109300
2021-06-17,184.009995,185.000000,178.380005,179.889999,179.889999,3757200
2021-06-18,177.009995,179.580002,170.509995,174.410004,174.410004,2877000
2021-06-21,173.850006,183.979996,173.330002,180.990005,180.990005,5045600
